,Home,Home_Score,Away,Away_Score,Datetime,Stadium,Region,Temperature,Total_Score,Expected_Total_Score,Actually-Expected
57,한화,7,LG,3,2022-04-15 18:30:00,대전,대전,12.9,10,8.881944444444445,1.1180555555555554
58,SSG,6,삼성,2,2022-04-16 14:00:00,문학,인천,15.5,8,9.604166666666668,-1.6041666666666679
59,두산,4,키움,1,2022-04-16 17:00:00,잠실,서울,17.2,5,8.743055555555555,-3.7430555555555554
60,롯데,0,KT,8,2022-04-16 17:00:00,사직,부산,13.4,8,8.583333333333334,-0.5833333333333339
61,NC,0,KIA,14,2022-04-16 17:00:00,창원,창원,12.5,14,9.48611111111111,4.513888888888889
62,한화,2,LG,6,2022-04-16 17:00:00,대전,대전,18.3,8,8.881944444444445,-0.8819444444444446
63,두산,2,키움,6,2022-04-17 14:00:00,잠실,서울,21.2,8,8.743055555555555,-0.7430555555555554
64,SSG,7,삼성,5,2022-04-17 14:00:00,문학,인천,14.3,12,9.604166666666668,2.395833333333332
65,롯데,3,KT,0,2022-04-17 14:00:00,사직,부산,18.4,3,8.583333333333334,-5.583333333333334
66,NC,3,KIA,4,2022-04-17 14:00:00,창원,창원,20.6,7,9.48611111111111,-2.4861111111111107
67,한화,7,LG,8,2022-04-17 14:00:00,대전,대전,21.8,15,8.881944444444445,6.118055555555555
68,LG,0,KT,5,2022-04-19 18:30:00,잠실,서울,15.7,5,9.347222222222221,-4.347222222222221
69,SSG,5,키움,8,2022-04-19 18:30:00,문학,인천,11.0,13,9.3125,3.6875
70,롯데,2,한화,6,2022-04-19 18:30:00,사직,부산,15.6,8,8.118055555555555,-0.11805555555555536
71,NC,11,삼성,8,2022-04-19 18:30:00,창원,창원,16.6,19,9.090277777777779,9.909722222222221
72,KIA,6,두산,3,2022-04-19 18:30:00,광주,광주,16.5,9,9.430555555555555,-0.43055555555555536
73,LG,3,KT,5,2022-04-20 18:30:00,잠실,서울,16.5,8,9.347222222222221,-1.3472222222222214
74,SSG,6,키움,1,2022-04-20 18:30:00,문학,인천,12.2,7,9.3125,-2.3125
