,Home,Home_Score,Away,Away_Score,Datetime,Stadium
109,롯데,4,SSG,1,2022-04-28 18:30:00,사직
110,삼성,4,LG,6,2022-04-28 18:30:00,대구
111,KT,5,KIA,3,2022-04-28 18:30:00,수원
112,한화,1,키움,3,2022-04-28 18:30:00,대전
113,LG,4,롯데,9,2022-04-29 18:30:00,잠실
114,SSG,8,두산,7,2022-04-29 18:30:00,문학
115,NC,9,한화,4,2022-04-29 18:30:00,창원
116,KIA,3,삼성,4,2022-04-29 18:30:00,광주
117,키움,4,KT,6,2022-04-29 18:30:00,고척
118,KIA,4,삼성,5,2022-04-30 14:00:00,광주
119,LG,1,롯데,3,2022-04-30 17:00:00,잠실
120,SSG,2,두산,1,2022-04-30 17:00:00,문학
121,NC,0,한화,2,2022-04-30 17:00:00,창원
122,키움,4,KT,1,2022-04-30 17:00:00,고척
123,LG,0,롯데,4,2022-05-01 14:00:00,잠실
124,SSG,0,두산,9,2022-05-01 14:00:00,문학
125,NC,1,한화,2,2022-05-01 14:00:00,창원
126,KIA,3,삼성,6,2022-05-01 14:00:00,광주
127,키움,9,KT,3,2022-05-01 14:00:00,고척
128,LG,4,두산,3,2022-05-03 18:30:00,잠실
129,SSG,4,한화,2,2022-05-03 18:30:00,문학
130,삼성,6,NC,10,2022-05-03 18:30:00,대구
131,KT,10,롯데,5,2022-05-03 18:30:00,수원
132,KIA,1,키움,7,2022-05-03 18:30:00,광주
133,LG,2,두산,5,2022-05-04 18:30:00,잠실
134,SSG,5,한화,8,2022-05-04 18:30:00,문학
135,삼성,11,NC,5,2022-05-04 18:30:00,대구
136,KT,0,롯데,5,2022-05-04 18:30:00,수원
137,KIA,4,키움,3,2022-05-04 18:30:00,광주
138,LG,4,두산,9,2022-05-05 14:00:00,잠실
139,SSG,14,한화,4,2022-05-05 14:00:00,문학
140,삼성,5,NC,2,2022-05-05 14:00:00,대구
141,KT,8,롯데,2,2022-05-05 14:00:00,수원
142,KIA,10,키움,1,2022-05-05 14:00:00,광주
143,두산,0,KT,6,2022-05-06 18:30:00,잠실
144,롯데,0,삼성,5,2022-05-06 18:30:00,사직
145,NC,8,LG,15,2022-05-06 18:30:00,창원
146,키움,9,SSG,2,2022-05-06 18:30:00,고척
147,한화,2,KIA,13,2022-05-06 18:30:00,대전
148,두산,11,KT,8,2022-05-07 17:00:00,잠실
149,롯데,1,삼성,4,2022-05-07 17:00:00,사직
150,NC,3,LG,6,2022-05-07 17:00:00,창원
151,키움,0,SSG,3,2022-05-07 17:00:00,고척
152,한화,4,KIA,5,2022-05-07 17:00:00,대전
153,두산,0,KT,5,2022-05-08 14:00:00,잠실
154,롯데,2,삼성,4,2022-05-08 14:00:00,사직
155,NC,2,LG,3,2022-05-08 14:00:00,창원
156,키움,2,SSG,6,2022-05-08 14:00:00,고척
157,한화,6,KIA,7,2022-05-08 14:00:00,대전
158,LG,9,한화,1,2022-05-10 18:30:00,잠실
159,롯데,7,NC,0,2022-05-10 18:30:00,사직
160,삼성,1,SSG,3,2022-05-10 18:30:00,대구
161,KIA,1,KT,0,2022-05-10 18:30:00,광주
162,키움,0,두산,9,2022-05-10 18:30:00,고척
163,LG,5,한화,2,2022-05-11 18:30:00,잠실
164,롯데,6,NC,5,2022-05-11 18:30:00,사직
165,삼성,6,SSG,5,2022-05-11 18:30:00,대구
166,KIA,5,KT,10,2022-05-11 18:30:00,광주
167,키움,1,두산,5,2022-05-11 18:30:00,고척
168,LG,11,한화,7,2022-05-12 18:30:00,잠실
169,롯데,2,NC,4,2022-05-12 18:30:00,사직
170,삼성,4,SSG,2,2022-05-12 18:30:00,대구
171,KIA,5,KT,4,2022-05-12 18:30:00,광주
172,키움,2,두산,3,2022-05-12 18:30:00,고척
173,LG,1,KIA,10,2022-05-13 18:30:00,잠실
174,SSG,2,NC,6,2022-05-13 18:30:00,문학
175,KT,5,키움,7,2022-05-13 18:30:00,수원
176,한화,1,롯데,8,2022-05-13 18:30:00,대전
177,LG,5,KIA,3,2022-05-14 17:00:00,잠실
178,SSG,2,NC,1,2022-05-14 17:00:00,문학
179,삼성,4,두산,0,2022-05-14 17:00:00,대구
180,KT,0,키움,3,2022-05-14 17:00:00,수원
181,한화,5,롯데,8,2022-05-14 17:00:00,대전
182,LG,6,KIA,3,2022-05-15 14:00:00,잠실
183,SSG,7,NC,8,2022-05-15 14:00:00,문학
184,삼성,4,두산,3,2022-05-15 14:00:00,대구
185,KT,1,키움,5,2022-05-15 14:00:00,수원
186,한화,8,롯데,4,2022-05-15 14:00:00,대전
187,두산,9,SSG,9,2022-05-17 18:30:00,잠실
188,롯데,3,KIA,4,2022-05-17 18:30:00,사직
189,NC,4,키움,11,2022-05-17 18:30:00,창원
190,KT,3,LG,2,2022-05-17 18:30:00,수원
191,한화,4,삼성,3,2022-05-17 18:30:00,대전
192,두산,2,SSG,5,2022-05-18 18:30:00,잠실
193,롯데,7,KIA,15,2022-05-18 18:30:00,사직
194,NC,15,키움,3,2022-05-18 18:30:00,창원
195,KT,1,LG,9,2022-05-18 18:30:00,수원
196,한화,3,삼성,5,2022-05-18 18:30:00,대전
197,두산,3,SSG,9,2022-05-19 18:30:00,잠실
198,롯데,2,KIA,4,2022-05-19 18:30:00,사직
199,NC,1,키움,3,2022-05-19 18:30:00,창원
200,KT,3,LG,7,2022-05-19 18:30:00,수원
201,한화,1,삼성,2,2022-05-19 18:30:00,대전
202,두산,0,롯데,4,2022-05-20 18:30:00,잠실
203,SSG,5,LG,4,2022-05-20 18:30:00,문학
204,삼성,1,KT,5,2022-05-20 18:30:00,대구
205,KIA,5,NC,3,2022-05-20 18:30:00,광주
206,키움,4,한화,3,2022-05-20 18:30:00,고척
207,두산,12,롯데,4,2022-05-21 14:00:00,잠실
208,SSG,3,LG,4,2022-05-21 17:00:00,문학
209,삼성,2,KT,5,2022-05-21 17:00:00,대구
210,KIA,4,NC,7,2022-05-21 17:00:00,광주
211,키움,11,한화,2,2022-05-21 17:00:00,고척
212,두산,4,롯데,5,2022-05-22 14:00:00,잠실
213,SSG,3,LG,1,2022-05-22 14:00:00,문학
214,삼성,4,KT,3,2022-05-22 14:00:00,대구
215,KIA,8,NC,6,2022-05-22 14:00:00,광주
216,키움,5,한화,6,2022-05-22 14:00:00,고척
217,LG,4,키움,6,2022-05-24 18:30:00,잠실
218,SSG,3,롯데,2,2022-05-24 18:30:00,문학
219,삼성,3,KIA,4,2022-05-24 18:30:00,대구
220,NC,3,KT,2,2022-05-24 18:30:00,창원
221,한화,6,두산,3,2022-05-24 18:30:00,대전
222,LG,5,키움,10,2022-05-25 18:30:00,잠실
223,SSG,9,롯데,1,2022-05-25 18:30:00,문학
224,삼성,5,KIA,11,2022-05-25 18:30:00,대구
225,NC,2,KT,3,2022-05-25 18:30:00,창원
226,한화,14,두산,1,2022-05-25 18:30:00,대전
227,LG,5,키움,12,2022-05-26 18:30:00,잠실
228,SSG,6,롯데,5,2022-05-26 18:30:00,문학
229,삼성,7,KIA,9,2022-05-26 18:30:00,대구
230,NC,1,KT,2,2022-05-26 18:30:00,창원
231,한화,3,두산,24,2022-05-26 18:30:00,대전
