,지점,지점명,일시,기온(°C)
115,108,서울,2022-05-09 18:00:00,23.9
116,108,서울,2022-05-09 20:00:00,20.8
117,108,서울,2022-05-10 15:00:00,25.8
118,108,서울,2022-05-10 18:00:00,24.2
119,108,서울,2022-05-10 20:00:00,20.6
120,108,서울,2022-05-11 15:00:00,24.9
121,108,서울,2022-05-11 18:00:00,21.2
122,108,서울,2022-05-11 20:00:00,18.6
123,108,서울,2022-05-12 15:00:00,27.9
124,108,서울,2022-05-12 18:00:00,25.2
125,108,서울,2022-05-12 20:00:00,21.6
126,108,서울,2022-05-13 15:00:00,24.7
127,108,서울,2022-05-13 18:00:00,21.6
128,108,서울,2022-05-13 20:00:00,18.6
129,108,서울,2022-05-14 15:00:00,19.1
130,108,서울,2022-05-14 18:00:00,17.6
131,108,서울,2022-05-14 20:00:00,15.2
132,108,서울,2022-05-15 15:00:00,21.9
133,108,서울,2022-05-15 18:00:00,19.7
134,108,서울,2022-05-15 20:00:00,16.1
135,108,서울,2022-05-16 15:00:00,23.1
136,108,서울,2022-05-16 18:00:00,21.0
137,108,서울,2022-05-16 20:00:00,18.3
138,108,서울,2022-05-17 15:00:00,26.9
139,108,서울,2022-05-17 18:00:00,24.4
140,108,서울,2022-05-17 20:00:00,20.9
141,108,서울,2022-05-18 15:00:00,24.9
142,108,서울,2022-05-18 18:00:00,23.9
143,108,서울,2022-05-18 20:00:00,21.5
144,108,서울,2022-05-19 15:00:00,23.1
145,108,서울,2022-05-19 18:00:00,21.1
146,108,서울,2022-05-19 20:00:00,19.2
147,108,서울,2022-05-20 15:00:00,25.6
148,108,서울,2022-05-20 18:00:00,24.4
149,108,서울,2022-05-20 20:00:00,21.1
150,108,서울,2022-05-21 15:00:00,25.5
151,108,서울,2022-05-21 18:00:00,23.0
152,108,서울,2022-05-21 20:00:00,19.0
153,108,서울,2022-05-22 15:00:00,25.7
154,108,서울,2022-05-22 18:00:00,24.6
155,108,서울,2022-05-22 20:00:00,21.7
156,108,서울,2022-05-23 15:00:00,30.5
157,108,서울,2022-05-23 18:00:00,27.7
158,108,서울,2022-05-23 20:00:00,23.1
159,108,서울,2022-05-24 15:00:00,29.9
160,108,서울,2022-05-24 18:00:00,27.2
161,108,서울,2022-05-24 20:00:00,23.3
162,108,서울,2022-05-25 15:00:00,26.3
163,108,서울,2022-05-25 18:00:00,22.5
164,108,서울,2022-05-25 20:00:00,19.8
165,108,서울,2022-05-26 15:00:00,22.7
166,108,서울,2022-05-26 18:00:00,21.2
167,108,서울,2022-05-26 20:00:00,18.8
168,108,서울,2022-05-27 15:00:00,24.9
169,108,서울,2022-05-27 18:00:00,22.8
170,108,서울,2022-05-27 20:00:00,20.2
171,108,서울,2022-05-28 15:00:00,28.7
172,108,서울,2022-05-28 18:00:00,26.4
173,108,서울,2022-05-28 20:00:00,24.1
174,108,서울,2022-05-29 15:00:00,28.0
175,108,서울,2022-05-29 18:00:00,27.6
176,108,서울,2022-05-29 20:00:00,23.6
177,108,서울,2022-05-30 15:00:00,23.0
178,108,서울,2022-05-30 18:00:00,20.1
179,108,서울,2022-05-30 20:00:00,19.9
180,108,서울,2022-05-31 15:00:00,26.8
181,108,서울,2022-05-31 18:00:00,24.0
182,108,서울,2022-05-31 20:00:00,21.6
183,108,서울,2022-06-01 15:00:00,28.3
184,108,서울,2022-06-01 18:00:00,26.3
185,108,서울,2022-06-01 20:00:00,22.2
186,108,서울,2022-06-02 15:00:00,26.7
187,108,서울,2022-06-02 18:00:00,24.9
188,108,서울,2022-06-02 20:00:00,21.6
189,108,서울,2022-06-03 15:00:00,32.3
190,108,서울,2022-06-03 18:00:00,27.9
191,108,서울,2022-06-03 20:00:00,24.3
192,108,서울,2022-06-04 15:00:00,29.0
193,108,서울,2022-06-04 18:00:00,29.4
194,108,서울,2022-06-04 20:00:00,27.3
195,108,서울,2022-06-05 15:00:00,22.8
196,108,서울,2022-06-05 18:00:00,22.0
197,108,서울,2022-06-05 20:00:00,20.9
198,108,서울,2022-06-06 15:00:00,24.3
199,108,서울,2022-06-06 18:00:00,22.4
200,108,서울,2022-06-06 20:00:00,19.6
201,108,서울,2022-06-07 15:00:00,24.7
202,108,서울,2022-06-07 18:00:00,23.5
203,108,서울,2022-06-07 20:00:00,22.3
204,108,서울,2022-06-08 15:00:00,25.5
205,108,서울,2022-06-08 18:00:00,24.9
206,108,서울,2022-06-08 20:00:00,21.6
207,108,서울,2022-06-09 15:00:00,23.6
208,108,서울,2022-06-09 18:00:00,24.4
209,108,서울,2022-06-09 20:00:00,22.2
210,108,서울,2022-06-10 15:00:00,22.2
211,108,서울,2022-06-10 18:00:00,22.0
212,108,서울,2022-06-10 20:00:00,20.9
213,108,서울,2022-06-11 15:00:00,30.6
214,108,서울,2022-06-11 18:00:00,30.1
215,108,서울,2022-06-11 20:00:00,26.9
216,108,서울,2022-06-12 15:00:00,30.8
217,108,서울,2022-06-12 18:00:00,27.7
218,108,서울,2022-06-12 20:00:00,24.9
219,108,서울,2022-06-13 15:00:00,27.2
220,108,서울,2022-06-13 18:00:00,25.2
221,108,서울,2022-06-13 20:00:00,23.4
222,108,서울,2022-06-14 15:00:00,25.1
223,108,서울,2022-06-14 18:00:00,22.5
224,108,서울,2022-06-14 20:00:00,20.6
225,108,서울,2022-06-15 15:00:00,18.3
226,108,서울,2022-06-15 18:00:00,19.7
227,108,서울,2022-06-15 20:00:00,20.0
228,108,서울,2022-06-16 15:00:00,23.1
229,108,서울,2022-06-16 18:00:00,24.6
230,108,서울,2022-06-16 20:00:00,22.1
231,108,서울,2022-06-17 15:00:00,27.9
232,108,서울,2022-06-17 18:00:00,26.3
233,108,서울,2022-06-17 20:00:00,25.1
234,108,서울,2022-06-18 15:00:00,23.7
235,108,서울,2022-06-18 18:00:00,25.0
236,108,서울,2022-06-18 20:00:00,23.2
237,108,서울,2022-06-19 15:00:00,24.2
238,108,서울,2022-06-19 18:00:00,24.9
239,108,서울,2022-06-19 20:00:00,24.3
240,108,서울,2022-06-20 15:00:00,28.3
241,108,서울,2022-06-20 18:00:00,28.8
242,108,서울,2022-06-20 20:00:00,26.8
243,108,서울,2022-06-21 15:00:00,32.0
244,108,서울,2022-06-21 18:00:00,30.9
245,108,서울,2022-06-21 20:00:00,27.3
246,108,서울,2022-06-22 15:00:00,30.4
247,108,서울,2022-06-22 18:00:00,28.7
248,108,서울,2022-06-22 20:00:00,26.8
249,108,서울,2022-06-23 15:00:00,24.7
